Member Type,Member Name,Revision Number,Last Modified Date,Last Modified By
Profile,Admin,12,2025-04-12T09:51:25.000+0000,005DL00000ItIKYYA3
CustomField,Account.Special_Notes__c,7,2025-04-12T09:51:23.000+0000,005DL00000ItIKYYA3
Layout,Account-Account (Marketing) Layout,8,2025-04-12T09:51:23.000+0000,005DL00000ItIKYYA3
Layout,Account-Account Layout,11,2025-04-12T09:51:23.000+0000,005DL00000ItIKYYA3
Layout,Account-Account (Sales) Layout,9,2025-04-12T09:51:23.000+0000,005DL00000ItIKYYA3
Layout,Account-Account (Support) Layout,10,2025-04-12T09:51:23.000+0000,005DL00000ItIKYYA3
CustomField,Account.Comments__c,1,2025-04-12T09:48:23.000+0000,005DL00000ItIKYYA3
